"size","percentage"
370,0.649716761125679
371,0.649762960261194
372,0.64983694715707
373,0.649875693365303
374,0.650002272333131
375,0.650037720990521
376,0.650065739265333
377,0.650092877488775
378,0.650131764096432
379,0.650185167118574
380,0.650257805407468
381,0.650300851743165
382,0.650348202458706
383,0.650386597172269
384,0.650425223683084
385,0.650462342767598
386,0.650503947454232
387,0.650553224646892
388,0.650605693584085
389,0.650655146350441
390,0.650825380686964
391,0.650865941832379
392,0.650931575139735
393,0.650969113466425
394,0.651049982570533
395,0.651101844196943
396,0.651185702752765
397,0.651235475822581
398,0.65128836198207
399,0.651343731382832
400,0.651405703957716
401,0.651457354956642
402,0.651527904136132
403,0.651567372547377
404,0.651600694327138
405,0.651626084687611
406,0.651665807121881
407,0.651689467635301
408,0.651719979179917
409,0.651743265065717
410,0.651782321173254
411,0.651825837326103
412,0.651857467565672
413,0.651886822399054
414,0.651920481902861
415,0.651954836295223
416,0.652010148047883
417,0.652041316649044
418,0.652085085627165
419,0.652121727785965
420,0.652179749821571
421,0.652207984542541
422,0.666894311593753
423,0.666917628018732
424,0.666948067109875
425,0.666969779381076
426,0.667001972019204
427,0.667035514632163
428,0.667065663094372
429,0.667091274706192
430,0.667149762760158
431,0.667182400062608
432,0.667212360229417
433,0.667234473804836
434,0.667263312484296
435,0.667286115639883
436,0.667310843791342
437,0.667331766275034
438,0.667358342114092
439,0.667419413439491
440,0.667440264617852
441,0.66746808654609
442,0.66749595050202
443,0.667533367564998
444,0.667555277302567
445,0.667575561858338
446,0.669214521042685
447,0.669246969234695
448,0.669275187860406
449,0.669296635435107
450,0.669334410945397
451,0.669361818798101
452,0.669389456236818
453,0.669413569331075
454,0.669483586325168
455,0.669506538434551
456,0.669530415330343
457,0.669557667999514
458,0.669591921142701
459,0.669622744301747
460,0.669644437834125
461,0.669674332351269
462,0.669815522767196
463,0.669845039339865
464,0.669952290452447
465,0.669997482163627
466,0.670028219807304
467,0.670060634816574
468,0.670097973075857
469,0.670143129910431
470,0.670201705563431
471,0.670231333045266
472,0.670264428307815
473,0.670356453446645
474,0.67041830729507
475,0.67048897577509
476,0.670585985830536
477,0.670655466620733
478,0.670726998142601
479,0.670786363490976
480,0.67084514961554
481,0.67090106004665
482,0.670965568804943
483,0.671007533724888
484,0.671057040872101
485,0.671118330925769
486,0.675861879316588
487,0.675909844345165
488,0.67594261075697
489,0.67600692452945
490,0.676061511662329
491,0.676103471415632
492,0.676139329775691
493,0.676163559122939
494,0.676206333270859
495,0.676238915710516
496,0.676280061735408
497,0.6763020079584
498,0.676338648317026
499,0.676391607256003
500,0.67641642620287
501,0.676443814955299
502,0.676474430676145
503,0.676512656485162
504,0.676531649784387
505,0.676567226643956
506,0.677955176230619
507,0.678027275920109
508,0.678053031793932
509,0.678080931859658
510,0.678294551800954
511,0.678352647424002
512,0.678374500824619
513,0.678404931786627
514,0.678451102331971
515,0.678514463854752
516,0.678535805155382
517,0.678562184888834
518,0.678622046823095
519,0.678660479772644
520,0.678683641106226
521,0.678738403430086
522,0.678793686075203
523,0.678848224582112
524,0.678866451134641
525,0.67890298814625
526,0.678942885048598
527,0.678977932727785
528,0.679000740674387
529,0.6790238511495
530,0.679978303560977
531,0.680010701291408
532,0.680029932993248
533,0.680052246345495
534,0.680084830351445
535,0.680109812207002
536,0.680130684037757
537,0.680156397784665
538,0.680188860222149
539,0.680220158605958
540,0.680236982319481
541,0.680260771120127
542,0.680288966442794
543,0.680341971335828
544,0.680361518528851
545,0.680383781454955
546,0.680437239254843
547,0.680464661317584
548,0.680483403761806
549,0.680527778803346
550,0.680560105044176
551,0.680587759676685
552,0.680605446339921
553,0.680637011532245
554,0.680661607328367
555,0.680721514826883
556,0.680738434367797
557,0.68076088624842
558,0.680820913167951
559,0.680851990654776
560,0.680870470316069
561,0.680893357321508
562,0.680918963688726
563,0.680946596293905
564,0.680964597612023
565,0.680984612744064
566,0.681014300127762
567,0.681038779351965
568,0.681058308103832
569,0.681079392114191
570,0.681111805216976
571,0.681158128762964
572,0.68120875733374
573,0.681257240160494
574,0.681301890749191
575,0.681330531345688
576,0.681417320542804
577,0.681442001599152
578,0.681470147920222
579,0.681504029646337
580,0.681662715857409
581,0.68168747193992
582,0.681792025278642
583,0.681817189710148
584,0.681837519022221
585,0.681863158813149
586,0.681888154198362
587,0.681922673561818
588,0.681944554220193
589,0.681968172606699
590,0.681994795774749
591,0.682026706040649
592,0.682154140353518
593,0.682181408827369
594,0.68221434955133
595,0.682243381395166
596,0.682264959765998
597,0.682288263688979
598,0.682324960490866
599,0.682348747611822
600,0.68236794369289
601,0.682389559527193
602,0.68243809464405
603,0.682469747024346
604,0.682490021509062
605,0.682513737629442
606,0.682591630747706
607,0.682619502435881
608,0.682640942597265
609,0.682663959201082
610,0.682702891798232
611,0.682776497609959
612,0.682795476500701
613,0.682817526772352
614,0.682848795970657
615,0.682871101675707
616,0.682889157934578
617,0.682922454029963
618,0.682946877909436
619,0.682975974835952
620,0.682994295982681
621,0.683017742580109
622,0.683040144183422
623,0.683070537320508
624,0.683093299504411
625,0.683114376718048
626,0.683135744043245
627,0.683158619418424
628,0.683175016944217
629,0.683197002820656
630,0.683244458038443
631,0.683275548069791
632,0.683293042036413
633,0.683336718504
634,0.683358188460396
635,0.683388242137048
636,0.68340402972267
637,0.68342391797077
638,0.683451721472026
639,0.683477783332962
640,0.683495994910025
641,0.683518364705533
642,0.683584888758994
643,0.683618823441419
644,0.683637511299252
645,0.683662555289173
646,0.683879806175017
647,0.683910674359683
648,0.683932504747835
649,0.683958963171585
650,0.683988975026076
651,0.68402231307828
652,0.68404204130222
653,0.684070366109868
654,0.684140902574741
655,0.68416766027393
656,0.684194839561192
657,0.684216456373542
658,0.684240379762026
659,0.684268555785973
660,0.684287220723477
661,0.684312156653326
662,0.684964494105287
663,0.684988127346774
664,0.685005289280454
665,0.685028219227847
666,0.685051213329485
667,0.685093921076486
